// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362
// command took 2,04s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362
// command took 3,45s and exited with 0
// ***** Done, took 00:00:05 (5.69 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1541dd0b-87e6-44cf-8447-c887154c8362.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 499900.00 ns, 499.9000 us/op
WorkloadJitting  1: 1 op, 947100.00 ns, 947.1000 us/op

OverheadJitting  2: 16 op, 829700.00 ns, 51.8563 us/op
WorkloadJitting  2: 16 op, 653200.00 ns, 40.8250 us/op

WorkloadPilot    1: 16 op, 4500.00 ns, 281.2500 ns/op
WorkloadPilot    2: 32 op, 5400.00 ns, 168.7500 ns/op
WorkloadPilot    3: 64 op, 9200.00 ns, 143.7500 ns/op
WorkloadPilot    4: 128 op, 16200.00 ns, 126.5625 ns/op
WorkloadPilot    5: 256 op, 41100.00 ns, 160.5469 ns/op
WorkloadPilot    6: 512 op, 73100.00 ns, 142.7734 ns/op
WorkloadPilot    7: 1024 op, 219000.00 ns, 213.8672 ns/op
WorkloadPilot    8: 2048 op, 444700.00 ns, 217.1387 ns/op
WorkloadPilot    9: 4096 op, 878200.00 ns, 214.4043 ns/op
WorkloadPilot   10: 8192 op, 2643500.00 ns, 322.6929 ns/op
WorkloadPilot   11: 16384 op, 2011200.00 ns, 122.7539 ns/op
WorkloadPilot   12: 32768 op, 3767200.00 ns, 114.9658 ns/op
WorkloadPilot   13: 65536 op, 8007200.00 ns, 122.1802 ns/op
WorkloadPilot   14: 131072 op, 16423200.00 ns, 125.2991 ns/op
WorkloadPilot   15: 262144 op, 32601400.00 ns, 124.3645 ns/op
WorkloadPilot   16: 524288 op, 65424900.00 ns, 124.7881 ns/op
WorkloadPilot   17: 1048576 op, 119822900.00 ns, 114.2720 ns/op
WorkloadPilot   18: 2097152 op, 235437100.00 ns, 112.2652 ns/op
WorkloadPilot   19: 4194304 op, 494472300.00 ns, 117.8914 ns/op
WorkloadPilot   20: 8388608 op, 976629100.00 ns, 116.4233 ns/op

OverheadWarmup   1: 8388608 op, 18793500.00 ns, 2.2404 ns/op
OverheadWarmup   2: 8388608 op, 18982100.00 ns, 2.2628 ns/op
OverheadWarmup   3: 8388608 op, 18914200.00 ns, 2.2547 ns/op
OverheadWarmup   4: 8388608 op, 18949300.00 ns, 2.2589 ns/op
OverheadWarmup   5: 8388608 op, 19023300.00 ns, 2.2678 ns/op
OverheadWarmup   6: 8388608 op, 18693700.00 ns, 2.2285 ns/op

OverheadActual   1: 8388608 op, 18845000.00 ns, 2.2465 ns/op
OverheadActual   2: 8388608 op, 19139900.00 ns, 2.2817 ns/op
OverheadActual   3: 8388608 op, 19204800.00 ns, 2.2894 ns/op
OverheadActual   4: 8388608 op, 19055100.00 ns, 2.2715 ns/op
OverheadActual   5: 8388608 op, 19212100.00 ns, 2.2903 ns/op
OverheadActual   6: 8388608 op, 19049400.00 ns, 2.2709 ns/op
OverheadActual   7: 8388608 op, 19078200.00 ns, 2.2743 ns/op
OverheadActual   8: 8388608 op, 19349700.00 ns, 2.3067 ns/op
OverheadActual   9: 8388608 op, 19098800.00 ns, 2.2768 ns/op
OverheadActual  10: 8388608 op, 18937500.00 ns, 2.2575 ns/op
OverheadActual  11: 8388608 op, 18967100.00 ns, 2.2611 ns/op
OverheadActual  12: 8388608 op, 19178200.00 ns, 2.2862 ns/op
OverheadActual  13: 8388608 op, 18926400.00 ns, 2.2562 ns/op
OverheadActual  14: 8388608 op, 18796400.00 ns, 2.2407 ns/op
OverheadActual  15: 8388608 op, 18807300.00 ns, 2.2420 ns/op

WorkloadWarmup   1: 8388608 op, 947193400.00 ns, 112.9143 ns/op
WorkloadWarmup   2: 8388608 op, 945331700.00 ns, 112.6923 ns/op
WorkloadWarmup   3: 8388608 op, 941807400.00 ns, 112.2722 ns/op
WorkloadWarmup   4: 8388608 op, 946656100.00 ns, 112.8502 ns/op
WorkloadWarmup   5: 8388608 op, 943031400.00 ns, 112.4181 ns/op
WorkloadWarmup   6: 8388608 op, 942924700.00 ns, 112.4054 ns/op
WorkloadWarmup   7: 8388608 op, 940941700.00 ns, 112.1690 ns/op
WorkloadWarmup   8: 8388608 op, 939639000.00 ns, 112.0137 ns/op
WorkloadWarmup   9: 8388608 op, 941286600.00 ns, 112.2101 ns/op
WorkloadWarmup  10: 8388608 op, 941699900.00 ns, 112.2594 ns/op
WorkloadWarmup  11: 8388608 op, 941883500.00 ns, 112.2813 ns/op
WorkloadWarmup  12: 8388608 op, 941131700.00 ns, 112.1916 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 946435800.00 ns, 112.8239 ns/op
WorkloadActual   2: 8388608 op, 942664000.00 ns, 112.3743 ns/op
WorkloadActual   3: 8388608 op, 946494900.00 ns, 112.8310 ns/op
