// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad
// command took 2,05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad
// command took 3,63s and exited with 0
// ***** Done, took 00:00:05 (5.85 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9f9dd925-94b8-4a60-a2ad-4207299d20ad.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 450900.00 ns, 450.9000 us/op
WorkloadJitting  1: 1 op, 882400.00 ns, 882.4000 us/op

OverheadJitting  2: 16 op, 775600.00 ns, 48.4750 us/op
WorkloadJitting  2: 16 op, 838200.00 ns, 52.3875 us/op

WorkloadPilot    1: 16 op, 5000.00 ns, 312.5000 ns/op
WorkloadPilot    2: 32 op, 5500.00 ns, 171.8750 ns/op
WorkloadPilot    3: 64 op, 9100.00 ns, 142.1875 ns/op
WorkloadPilot    4: 128 op, 15600.00 ns, 121.8750 ns/op
WorkloadPilot    5: 256 op, 30200.00 ns, 117.9688 ns/op
WorkloadPilot    6: 512 op, 99800.00 ns, 194.9219 ns/op
WorkloadPilot    7: 1024 op, 219800.00 ns, 214.6484 ns/op
WorkloadPilot    8: 2048 op, 453600.00 ns, 221.4844 ns/op
WorkloadPilot    9: 4096 op, 910400.00 ns, 222.2656 ns/op
WorkloadPilot   10: 8192 op, 2044100.00 ns, 249.5239 ns/op
WorkloadPilot   11: 16384 op, 1996700.00 ns, 121.8689 ns/op
WorkloadPilot   12: 32768 op, 3734600.00 ns, 113.9709 ns/op
WorkloadPilot   13: 65536 op, 7957000.00 ns, 121.4142 ns/op
WorkloadPilot   14: 131072 op, 16752100.00 ns, 127.8084 ns/op
WorkloadPilot   15: 262144 op, 31809000.00 ns, 121.3417 ns/op
WorkloadPilot   16: 524288 op, 63447200.00 ns, 121.0159 ns/op
WorkloadPilot   17: 1048576 op, 119571600.00 ns, 114.0324 ns/op
WorkloadPilot   18: 2097152 op, 242479400.00 ns, 115.6232 ns/op
WorkloadPilot   19: 4194304 op, 471841200.00 ns, 112.4957 ns/op
WorkloadPilot   20: 8388608 op, 953124800.00 ns, 113.6213 ns/op

OverheadWarmup   1: 8388608 op, 18613800.00 ns, 2.2189 ns/op
OverheadWarmup   2: 8388608 op, 18756900.00 ns, 2.2360 ns/op
OverheadWarmup   3: 8388608 op, 19185900.00 ns, 2.2871 ns/op
OverheadWarmup   4: 8388608 op, 19113700.00 ns, 2.2785 ns/op
OverheadWarmup   5: 8388608 op, 18984400.00 ns, 2.2631 ns/op
OverheadWarmup   6: 8388608 op, 19028700.00 ns, 2.2684 ns/op
OverheadWarmup   7: 8388608 op, 19097400.00 ns, 2.2766 ns/op
OverheadWarmup   8: 8388608 op, 19066400.00 ns, 2.2729 ns/op

