// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813
// command took 1,95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813
// command took 3,71s and exited with 0
// ***** Done, took 00:00:05 (5.84 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8597c096-97e5-4d94-84a6-0a7652763813.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 497000.00 ns, 497.0000 us/op
WorkloadJitting  1: 1 op, 996100.00 ns, 996.1000 us/op

OverheadJitting  2: 16 op, 917700.00 ns, 57.3563 us/op
WorkloadJitting  2: 16 op, 773600.00 ns, 48.3500 us/op

WorkloadPilot    1: 16 op, 7700.00 ns, 481.2500 ns/op
WorkloadPilot    2: 32 op, 6800.00 ns, 212.5000 ns/op
WorkloadPilot    3: 64 op, 9400.00 ns, 146.8750 ns/op
WorkloadPilot    4: 128 op, 16500.00 ns, 128.9062 ns/op
WorkloadPilot    5: 256 op, 33700.00 ns, 131.6406 ns/op
WorkloadPilot    6: 512 op, 75800.00 ns, 148.0469 ns/op
WorkloadPilot    7: 1024 op, 221800.00 ns, 216.6016 ns/op
WorkloadPilot    8: 2048 op, 427100.00 ns, 208.5449 ns/op
WorkloadPilot    9: 4096 op, 991900.00 ns, 242.1631 ns/op
WorkloadPilot   10: 8192 op, 1995200.00 ns, 243.5547 ns/op
WorkloadPilot   11: 16384 op, 1980100.00 ns, 120.8557 ns/op
WorkloadPilot   12: 32768 op, 3805400.00 ns, 116.1316 ns/op
WorkloadPilot   13: 65536 op, 8475500.00 ns, 129.3259 ns/op
WorkloadPilot   14: 131072 op, 16762900.00 ns, 127.8908 ns/op
WorkloadPilot   15: 262144 op, 33270300.00 ns, 126.9161 ns/op
WorkloadPilot   16: 524288 op, 67206500.00 ns, 128.1862 ns/op
WorkloadPilot   17: 1048576 op, 125556400.00 ns, 119.7399 ns/op
WorkloadPilot   18: 2097152 op, 249130300.00 ns, 118.7946 ns/op
WorkloadPilot   19: 4194304 op, 524785900.00 ns, 125.1187 ns/op

OverheadWarmup   1: 4194304 op, 9923000.00 ns, 2.3658 ns/op
OverheadWarmup   2: 4194304 op, 9546800.00 ns, 2.2761 ns/op
OverheadWarmup   3: 4194304 op, 9545400.00 ns, 2.2758 ns/op
OverheadWarmup   4: 4194304 op, 9599000.00 ns, 2.2886 ns/op
OverheadWarmup   5: 4194304 op, 9697500.00 ns, 2.3121 ns/op
OverheadWarmup   6: 4194304 op, 9668200.00 ns, 2.3051 ns/op
OverheadWarmup   7: 4194304 op, 9570200.00 ns, 2.2817 ns/op
OverheadWarmup   8: 4194304 op, 9653200.00 ns, 2.3015 ns/op
OverheadWarmup   9: 4194304 op, 9647700.00 ns, 2.3002 ns/op

OverheadActual   1: 4194304 op, 9632500.00 ns, 2.2966 ns/op
OverheadActual   2: 4194304 op, 9695700.00 ns, 2.3116 ns/op
OverheadActual   3: 4194304 op, 9588900.00 ns, 2.2862 ns/op
OverheadActual   4: 4194304 op, 9500100.00 ns, 2.2650 ns/op
OverheadActual   5: 4194304 op, 9528600.00 ns, 2.2718 ns/op
OverheadActual   6: 4194304 op, 9533300.00 ns, 2.2729 ns/op
OverheadActual   7: 4194304 op, 9525800.00 ns, 2.2711 ns/op
OverheadActual   8: 4194304 op, 9559400.00 ns, 2.2791 ns/op
OverheadActual   9: 4194304 op, 9568300.00 ns, 2.2813 ns/op
