// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\eeab90ef-be6c-4d63-bd65-657fe0d5b5ed
// command took 1,98s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\eeab90ef-be6c-4d63-bd65-657fe0d5b5ed
// command took 3,81s and exited with 0
// ***** Done, took 00:00:05 (5.95 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eeab90ef-be6c-4d63-bd65-657fe0d5b5ed.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\eeab90ef-be6c-4d63-bd65-657fe0d5b5ed\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 452400.00 ns, 452.4000 us/op
WorkloadJitting  1: 1 op, 1022600.00 ns, 1.0226 ms/op

OverheadJitting  2: 16 op, 681300.00 ns, 42.5812 us/op
WorkloadJitting  2: 16 op, 656300.00 ns, 41.0187 us/op

WorkloadPilot    1: 16 op, 3500.00 ns, 218.7500 ns/op
WorkloadPilot    2: 32 op, 3200.00 ns, 100.0000 ns/op
WorkloadPilot    3: 64 op, 5100.00 ns, 79.6875 ns/op
WorkloadPilot    4: 128 op, 8500.00 ns, 66.4062 ns/op
WorkloadPilot    5: 256 op, 15900.00 ns, 62.1094 ns/op
WorkloadPilot    6: 512 op, 31800.00 ns, 62.1094 ns/op
WorkloadPilot    7: 1024 op, 59400.00 ns, 58.0078 ns/op
WorkloadPilot    8: 2048 op, 226800.00 ns, 110.7422 ns/op
WorkloadPilot    9: 4096 op, 519000.00 ns, 126.7090 ns/op
WorkloadPilot   10: 8192 op, 1067500.00 ns, 130.3101 ns/op
WorkloadPilot   11: 16384 op, 1941600.00 ns, 118.5059 ns/op
WorkloadPilot   12: 32768 op, 2114200.00 ns, 64.5203 ns/op
WorkloadPilot   13: 65536 op, 3811200.00 ns, 58.1543 ns/op
WorkloadPilot   14: 131072 op, 7434900.00 ns, 56.7238 ns/op
WorkloadPilot   15: 262144 op, 16323800.00 ns, 62.2704 ns/op
WorkloadPilot   16: 524288 op, 32771200.00 ns, 62.5061 ns/op
WorkloadPilot   17: 1048576 op, 63389800.00 ns, 60.4532 ns/op
WorkloadPilot   18: 2097152 op, 126571300.00 ns, 60.3539 ns/op
WorkloadPilot   19: 4194304 op, 256626300.00 ns, 61.1845 ns/op
WorkloadPilot   20: 8388608 op, 510444100.00 ns, 60.8497 ns/op

OverheadWarmup   1: 8388608 op, 18897100.00 ns, 2.2527 ns/op
