// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794
// command took 2,27s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794
// command took 3,76s and exited with 0
// ***** Done, took 00:00:06 (6.34 sec)   *****
// Found 2 benchmarks:
//   Md5VsSha256.Sha256: DefaultJob
//   Md5VsSha256.Md5: DefaultJob

// **************************
// Benchmark: Md5VsSha256.Sha256: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "62096192-6595-4e37-955e-7e0a19866794.dll" --benchmarkName "src.Md5VsSha256.Sha256" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 606700.00 ns, 606.7000 us/op
WorkloadJitting  1: 1 op, 1589000.00 ns, 1.5890 ms/op

OverheadJitting  2: 16 op, 1284800.00 ns, 80.3000 us/op
WorkloadJitting  2: 16 op, 2423400.00 ns, 151.4625 us/op

WorkloadPilot    1: 16 op, 949400.00 ns, 59.3375 us/op
WorkloadPilot    2: 32 op, 1828000.00 ns, 57.1250 us/op
WorkloadPilot    3: 64 op, 3643600.00 ns, 56.9312 us/op
WorkloadPilot    4: 128 op, 7380500.00 ns, 57.6602 us/op
WorkloadPilot    5: 256 op, 14363900.00 ns, 56.1090 us/op
WorkloadPilot    6: 512 op, 28677900.00 ns, 56.0115 us/op
WorkloadPilot    7: 1024 op, 56793400.00 ns, 55.4623 us/op
WorkloadPilot    8: 2048 op, 117194400.00 ns, 57.2238 us/op
WorkloadPilot    9: 4096 op, 220087300.00 ns, 53.7323 us/op
WorkloadPilot   10: 8192 op, 433911400.00 ns, 52.9677 us/op
WorkloadPilot   11: 16384 op, 869206000.00 ns, 53.0521 us/op

OverheadWarmup   1: 16384 op, 97000.00 ns, 5.9204 ns/op
OverheadWarmup   2: 16384 op, 88500.00 ns, 5.4016 ns/op
OverheadWarmup   3: 16384 op, 85700.00 ns, 5.2307 ns/op
OverheadWarmup   4: 16384 op, 92400.00 ns, 5.6396 ns/op
OverheadWarmup   5: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadWarmup   6: 16384 op, 88500.00 ns, 5.4016 ns/op
OverheadWarmup   7: 16384 op, 88500.00 ns, 5.4016 ns/op
OverheadWarmup   8: 16384 op, 88600.00 ns, 5.4077 ns/op

OverheadActual   1: 16384 op, 85700.00 ns, 5.2307 ns/op
OverheadActual   2: 16384 op, 90300.00 ns, 5.5115 ns/op
OverheadActual   3: 16384 op, 85700.00 ns, 5.2307 ns/op
OverheadActual   4: 16384 op, 89300.00 ns, 5.4504 ns/op
OverheadActual   5: 16384 op, 88800.00 ns, 5.4199 ns/op
OverheadActual   6: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadActual   7: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadActual   8: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadActual   9: 16384 op, 88500.00 ns, 5.4016 ns/op
OverheadActual  10: 16384 op, 88500.00 ns, 5.4016 ns/op
OverheadActual  11: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadActual  12: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadActual  13: 16384 op, 116200.00 ns, 7.0923 ns/op
OverheadActual  14: 16384 op, 88600.00 ns, 5.4077 ns/op
OverheadActual  15: 16384 op, 88700.00 ns, 5.4138 ns/op

WorkloadWarmup   1: 16384 op, 873766000.00 ns, 53.3304 us/op
WorkloadWarmup   2: 16384 op, 872950200.00 ns, 53.2807 us/op
WorkloadWarmup   3: 16384 op, 869334600.00 ns, 53.0600 us/op
WorkloadWarmup   4: 16384 op, 876939500.00 ns, 53.5241 us/op
