// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\171c2c8d-84be-4776-923f-0b1158740244
// command took 2,23s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\171c2c8d-84be-4776-923f-0b1158740244
// command took 3,66s and exited with 0
// ***** Done, took 00:00:06 (6.15 sec)   *****
// Found 2 benchmarks:
//   Struct_vs_Class.TestStruct: DefaultJob
//   Struct_vs_Class.TestClass: DefaultJob

// **************************
// Benchmark: Struct_vs_Class.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "171c2c8d-84be-4776-923f-0b1158740244.dll" --benchmarkName "src.Struct_vs_Class.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\171c2c8d-84be-4776-923f-0b1158740244\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 475600.00 ns, 475.6000 us/op
WorkloadJitting  1: 1 op, 1095600.00 ns, 1.0956 ms/op

OverheadJitting  2: 16 op, 902900.00 ns, 56.4312 us/op
WorkloadJitting  2: 16 op, 947600.00 ns, 59.2250 us/op

WorkloadPilot    1: 16 op, 3800.00 ns, 237.5000 ns/op
WorkloadPilot    2: 32 op, 3600.00 ns, 112.5000 ns/op
WorkloadPilot    3: 64 op, 6600.00 ns, 103.1250 ns/op
WorkloadPilot    4: 128 op, 9800.00 ns, 76.5625 ns/op
WorkloadPilot    5: 256 op, 16100.00 ns, 62.8906 ns/op
WorkloadPilot    6: 512 op, 30700.00 ns, 59.9609 ns/op
WorkloadPilot    7: 1024 op, 61200.00 ns, 59.7656 ns/op
WorkloadPilot    8: 2048 op, 285000.00 ns, 139.1602 ns/op
WorkloadPilot    9: 4096 op, 464800.00 ns, 113.4766 ns/op
WorkloadPilot   10: 8192 op, 1010300.00 ns, 123.3276 ns/op
WorkloadPilot   11: 16384 op, 2019100.00 ns, 123.2361 ns/op
WorkloadPilot   12: 32768 op, 2361100.00 ns, 72.0551 ns/op
WorkloadPilot   13: 65536 op, 3958600.00 ns, 60.4034 ns/op
WorkloadPilot   14: 131072 op, 7850100.00 ns, 59.8915 ns/op
WorkloadPilot   15: 262144 op, 16019100.00 ns, 61.1080 ns/op
WorkloadPilot   16: 524288 op, 32710300.00 ns, 62.3899 ns/op
WorkloadPilot   17: 1048576 op, 62285600.00 ns, 59.4002 ns/op
WorkloadPilot   18: 2097152 op, 124219900.00 ns, 59.2327 ns/op
WorkloadPilot   19: 4194304 op, 233689500.00 ns, 55.7159 ns/op
WorkloadPilot   20: 8388608 op, 450338700.00 ns, 53.6846 ns/op
WorkloadPilot   21: 16777216 op, 969060600.00 ns, 57.7605 ns/op

OverheadWarmup   1: 16777216 op, 38988200.00 ns, 2.3239 ns/op
OverheadWarmup   2: 16777216 op, 38261900.00 ns, 2.2806 ns/op
OverheadWarmup   3: 16777216 op, 38577000.00 ns, 2.2994 ns/op
OverheadWarmup   4: 16777216 op, 38208000.00 ns, 2.2774 ns/op
OverheadWarmup   5: 16777216 op, 37565300.00 ns, 2.2391 ns/op
OverheadWarmup   6: 16777216 op, 38367100.00 ns, 2.2869 ns/op
OverheadWarmup   7: 16777216 op, 37554700.00 ns, 2.2384 ns/op

OverheadActual   1: 16777216 op, 38161000.00 ns, 2.2746 ns/op
OverheadActual   2: 16777216 op, 37726500.00 ns, 2.2487 ns/op
